St1,St_1,St2,St_2,City,Zip,Long,Lat
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,FLOYD AVE S ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE S,LEHIGH ACRES,33976,-81.712633140199998,26.603416839299999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,FLOYD AVE S ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE S,LEHIGH ACRES,33976,-81.712607162699996,26.603040893700001
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,GUNNERY RD S ((LEHIGH ACRES-LEHIGH ACRES)),GUNNERY RD S,LEHIGH ACRES,33976,-81.713304008999998,26.603005724100001
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,IDA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE S,LEHIGH ACRES,33976,-81.673306167999996,26.604128831299999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,JOAN AVE S ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE S,LEHIGH ACRES,33976,-81.675912099000001,26.604120886499999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,OLIVE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE S,LEHIGH ACRES,33976,-81.681658147400000,26.604139903099998
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,RUTH AVE S ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE S,LEHIGH ACRES,33976,-81.685434113800000,26.604127898400002
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,SARA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),SARA AVE S,LEHIGH ACRES,33976,-81.688026126799997,26.604120874400000
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,SUNSHINE BLVD S ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD S,LEHIGH ACRES,33976,-81.679216558099995,26.604142735700002
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,TERRY AVE S ((LEHIGH ACRES-LEHIGH ACRES)),TERRY AVE S,LEHIGH ACRES,33976,-81.692281131800002,26.604110819399999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,YVONNE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),YVONNE AVE S,LEHIGH ACRES,33976,-81.697328137699998,26.604015844399999
10TH ST W ((BOCA GRANDE-BOCA GRANDE)),10TH ST W,GASPARILLA RD ((BOCA GRANDE-BOCA GRANDE)),GASPARILLA RD,BOCA GRANDE,33921,-82.263381273199997,26.756233929499999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,BRIAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),BRIAN AVE N,LEHIGH ACRES,33971,-81.701818159200002,26.622570850799999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,COLIN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),COLIN AVE N,LEHIGH ACRES,33971,-81.703924163899998,26.622570826000000
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,CONNIE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),CONNIE AVE N,LEHIGH ACRES,33971,-81.665043457699994,26.622675618199999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,DOUGLAS AVE N ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE N,LEHIGH ACRES,33971,-81.708882121200006,26.622564899299999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,ELAINE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),ELAINE AVE N,LEHIGH ACRES,33971,-81.667643675500003,26.622660725300001
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,FLOYD AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE N,LEHIGH ACRES,33971,-81.713350108699998,26.622558897400001
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,FRED AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FRED AVE N,LEHIGH ACRES,33971,-81.711462878299997,26.622550069999999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,GUNNERY RD N ((LEHIGH ACRES-LEHIGH ACRES)),GUNNERY RD N,LEHIGH ACRES,33971,-81.715278162100006,26.622567823899999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,IDA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE N,LEHIGH ACRES,33971,-81.673215927900003,26.622600718899999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,JOAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE N,LEHIGH ACRES,33971,-81.675824176800006,26.622584853799999
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,OLIVE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE N,LEHIGH ACRES,33971,-81.680228109100000,26.622465822100001
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,RUTH AVE N ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE N,LEHIGH ACRES,33971,-81.683952368899995,26.622480221099998
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,SUNSHINE BLVD N ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD N,LEHIGH ACRES,33971,-81.685874164500007,26.622501220800000
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,SUSAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),SUSAN AVE N,LEHIGH ACRES,33971,-81.689967145300002,26.622578825700000
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,TENA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),TENA AVE N,LEHIGH ACRES,33971,-81.691023160499995,26.622567853400000
10TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST W,XELDA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),XELDA AVE N,LEHIGH ACRES,33971,-81.697107723000002,26.622571093200001
10TH TER ((LEHIGH ACRES-LEHIGH ACRES)),10TH TER,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599721116699996,26.638964914700001
11TH CT ((LEHIGH ACRES-LEHIGH ACRES)),11TH CT,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599809091899999,26.641629868399999
11TH CT W ((LEHIGH ACRES-LEHIGH ACRES)),11TH CT W,TENA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),TENA AVE N,LEHIGH ACRES,33971,-81.691029155899997,26.623479880400001
11TH PL ((LEHIGH ACRES-LEHIGH ACRES)),11TH PL,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599773125400006,26.640705845799999
11TH ST ((NORTH FORT MYERS-NORTH FORT MYERS)),11TH ST,AVENUE A ((NORTH FORT MYERS-NORTH FORT MYERS)),AVENUE A,NORTH FORT MYERS,33903,-81.924308179199997,26.748765876899999
11TH ST ((NORTH FORT MYERS-NORTH FORT MYERS)),11TH ST,AVENUE B ((NORTH FORT MYERS-NORTH FORT MYERS)),AVENUE B,NORTH FORT MYERS,33903,-81.924393794200000,26.748095433100001
11TH ST E ((BOCA GRANDE-BOCA GRANDE)),11TH ST E,EAST RAILROAD AVE ((BOCA GRANDE-BOCA GRANDE)),EAST RAILROAD AVE,BOCA GRANDE, ,-82.263209306999997,26.757076921100001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,ANITA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ANITA AVE S,LEHIGH ACRES,33976,-81.663204647599997,26.603366296000001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,BRUCE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),BRUCE AVE S,LEHIGH ACRES,33976,-81.699898155599996,26.603042828700001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,CONNIE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CONNIE AVE S,LEHIGH ACRES,33976,-81.665478131599997,26.603261822000000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,CURTIS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CURTIS AVE S,LEHIGH ACRES,33976,-81.705130119700002,26.602855888200001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,DOUGLAS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE S,LEHIGH ACRES,33976,-81.707726118799997,26.602769888400001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,ELVA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ELVA AVE S,LEHIGH ACRES,33976,-81.668093152099999,26.603253864700001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,FLOYD AVE S ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE S,LEHIGH ACRES,33976,-81.712550321099997,26.602518989400000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,GILBERT AVE S ((LEHIGH ACRES-LEHIGH ACRES)),GILBERT AVE S,LEHIGH ACRES,33973,-81.715206143700001,26.602954852800000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,GORDON AVE S ((LEHIGH ACRES-LEHIGH ACRES)),GORDON AVE S,LEHIGH ACRES,33973,-81.716128115900005,26.602884839000001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,GRETCHEN AVE S ((LEHIGH ACRES-LEHIGH ACRES)),GRETCHEN AVE S,LEHIGH ACRES,33973,-81.714240112200002,26.603022876800001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,HAROLD AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HAROLD AVE S,LEHIGH ACRES,33973,-81.717037155599996,26.602819847199999
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,HARRY AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HARRY AVE S,LEHIGH ACRES, ,-81.717953172500003,26.602745838200001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,HIGHTOWER AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HIGHTOWER AVE S,LEHIGH ACRES,33973,-81.719174118100000,26.602644889899999
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,HOMER AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HOMER AVE S,LEHIGH ACRES,33973,-81.720090182600003,26.602584857600000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,ICHABOD AVE ((LEHIGH ACRES-LEHIGH ACRES)),ICHABOD AVE,LEHIGH ACRES,33973,-81.721001132200001,26.602515872700000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,IDA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE S,LEHIGH ACRES,33976,-81.673301150900002,26.603241899000000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,IVAN AVE S ((LEHIGH ACRES-LEHIGH ACRES)),IVAN AVE S,LEHIGH ACRES,33973,-81.721909186900007,26.602444891499999
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,JOAN AVE S ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE S,LEHIGH ACRES,33976,-81.675908137299999,26.603233869899999
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,OLIVE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE S,LEHIGH ACRES,33976,-81.681646162600003,26.603262886300001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,RUTH AVE S ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE S,LEHIGH ACRES,33976,-81.685428149299995,26.603249900400002
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,SARA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),SARA AVE S,LEHIGH ACRES,33976,-81.688026115000000,26.603239819700001
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,SUNSHINE BLVD S ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD S,LEHIGH ACRES,33976,-81.679213108599996,26.603254847399999
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,TERRY AVE S ((LEHIGH ACRES-LEHIGH ACRES)),TERRY AVE S,LEHIGH ACRES,33976,-81.692281101999995,26.603223899400000
11TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST SW,YVONNE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),YVONNE AVE S,LEHIGH ACRES,33976,-81.697292698799998,26.603122544200001
11TH ST W ((BOCA GRANDE-BOCA GRANDE)),11TH ST W,GASPARILLA RD ((BOCA GRANDE-BOCA GRANDE)),GASPARILLA RD,BOCA GRANDE,33921,-82.263555318700000,26.757047843399999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,ANN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),ANN AVE N,LEHIGH ACRES,33971,-81.663090153799999,26.623581831999999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,BETH AVE N ((LEHIGH ACRES-LEHIGH ACRES)),BETH AVE N,LEHIGH ACRES,33971,-81.664069406799996,26.623582783200000
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,BRIAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),BRIAN AVE N,LEHIGH ACRES,33971,-81.701810130799998,26.623398893899999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,COLIN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),COLIN AVE N,LEHIGH ACRES,33971,-81.703924110800003,26.623395908199999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,CONNIE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),CONNIE AVE N,LEHIGH ACRES,33971,-81.665057325000006,26.623572110000001
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,DOROTHY AVE N ((LEHIGH ACRES-LEHIGH ACRES)),DOROTHY AVE N,LEHIGH ACRES,33971,-81.666354219799999,26.623558692600000
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,DOUGLAS AVE N ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE N,LEHIGH ACRES,33971,-81.708887151200003,26.623391888600000
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,ELAINE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),ELAINE AVE N,LEHIGH ACRES,33971,-81.667655295800003,26.623543975299999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,FLOYD AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE N,LEHIGH ACRES,33971,-81.713353116700006,26.623378841499999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,FRED AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FRED AVE N,LEHIGH ACRES,33971,-81.711434996799994,26.623371568000000
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,GUNNERY RD N ((LEHIGH ACRES-LEHIGH ACRES)),GUNNERY RD N,LEHIGH ACRES,33971,-81.715356159799995,26.623383856499999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,IDA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE N,OBOR,OBOR,-81.673227049700003,26.623487856000001
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,JOAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE N,LEHIGH ACRES,33971,-81.675830106399999,26.623477832199999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,OLIVE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE N,LEHIGH ACRES,33971,-81.680215128900002,26.623349822400002
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,RUTH AVE N ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE N,LEHIGH ACRES,33971,-81.683965319300000,26.623374183799999
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,SUNSHINE BLVD N ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD N,OBOR,OBOR,-81.685887690000001,26.623385330200001
11TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),11TH ST W,XELDA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),XELDA AVE N,LEHIGH ACRES,33971,-81.697111595699994,26.623401895200001
11TH TER ((LEHIGH ACRES-LEHIGH ACRES)),11TH TER,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599839128699998,26.642543855500001
12TH ST E ((BOCA GRANDE-BOCA GRANDE)),12TH ST E,EAST RAILROAD AVE ((BOCA GRANDE-BOCA GRANDE)),EAST RAILROAD AVE,BOCA GRANDE, ,-82.263323308200000,26.757890855500001
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,BRUCE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),BRUCE AVE S,LEHIGH ACRES,33976,-81.699853841299998,26.602148325100000
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,CONNIE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CONNIE AVE S,LEHIGH ACRES,33976,-81.665478156600003,26.602370840799999
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,CURTIS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CURTIS AVE S,LEHIGH ACRES,33976,-81.705087160100007,26.601974834699998
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,DOUGLAS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE S,LEHIGH ACRES,33976,-81.707689116500006,26.601882889799999
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,ELVA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ELVA AVE S,LEHIGH ACRES,33976,-81.668084105299997,26.602370893500002
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,FLOYD AVE S ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE S,LEHIGH ACRES,33976,-81.712461185500004,26.601634883900001
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,IDA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE S,LEHIGH ACRES,33976,-81.673297136399995,26.602351900999999
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,JOAN AVE S ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE S,LEHIGH ACRES,33976,-81.675908137600004,26.602351821999999
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,OLIVE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE S,LEHIGH ACRES,33976,-81.681655168500001,26.602372827000000
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,RUTH AVE S ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE S,LEHIGH ACRES,33976,-81.685422119999998,26.602365855700000
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,SARA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),SARA AVE S,LEHIGH ACRES,33976,-81.688026128299995,26.602349831900000
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,SUNSHINE BLVD S ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD S,LEHIGH ACRES,33976,-81.679208600300001,26.602371051599999
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,TERRY AVE S ((LEHIGH ACRES-LEHIGH ACRES)),TERRY AVE S,LEHIGH ACRES,33976,-81.692276170800000,26.602342834700000
12TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST SW,YVONNE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),YVONNE AVE S,LEHIGH ACRES,33976,-81.697262452700002,26.602236713900002
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,BRIAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),BRIAN AVE N,LEHIGH ACRES,33971,-81.701827974799997,26.624225692400000
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,BRUCE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),BRUCE AVE N,LEHIGH ACRES,33971,-81.699720162299997,26.624232721500000
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,COLIN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),COLIN AVE N,LEHIGH ACRES,33971,-81.703929627999997,26.624220691500000
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,DENIS AVE N ((LEHIGH ACRES-LEHIGH ACRES)),DENIS AVE N,LEHIGH ACRES,33971,-81.706299107600003,26.624213758800000
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,DOUGLAS AVE N ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE N,LEHIGH ACRES,33971,-81.708890725200007,26.624203801499998
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,ELAINE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),ELAINE AVE N,LEHIGH ACRES,33971,-81.667668106700006,26.624430860899999
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,FLORA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FLORA AVE N,LEHIGH ACRES,33971,-81.668652961500001,26.624424615300001
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,FLOYD AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FLOYD AVE N,LEHIGH ACRES,33971,-81.713348169499994,26.624199853499999
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,FRED AVE N ((LEHIGH ACRES-LEHIGH ACRES)),FRED AVE N,LEHIGH ACRES,33971,-81.711414983799997,26.624199969500001
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,GENE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),GENE AVE N,LEHIGH ACRES,33971,-81.669640364599999,26.624412895599999
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,GUNNERY RD N ((LEHIGH ACRES-LEHIGH ACRES)),GUNNERY RD N,LEHIGH ACRES,33971,-81.715430159299999,26.624208906800000
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,IDA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),IDA AVE N,LEHIGH ACRES,33971,-81.673243015300002,26.624375931900001
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,JOAN AVE N ((LEHIGH ACRES-LEHIGH ACRES)),JOAN AVE N,LEHIGH ACRES,33971,-81.675847160900005,26.624361900299998
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,OLIVE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),OLIVE AVE N,LEHIGH ACRES,33971,-81.680226166200001,26.624235862399999
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,RITA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),RITA AVE N,LEHIGH ACRES,33971,-81.687185108799994,26.624227864600002
12TH ST W ((LEHIGH ACRES-LEHIGH ACRES)),12TH ST W,RUTH AVE N ((LEHIGH ACRES-LEHIGH ACRES)),RUTH AVE N,LEHIGH ACRES,33971,-81.683956115300006,26.624268842599999
